"['1080P', '豆瓣:6.4分']",['鬼影特攻：以暴制暴'],['https://t1.szrtcpa.com/upload/vod/20220313-23/f922efeb3b92afa14d1e7f74a52d00ae.jpg']
"['1080P', '豆瓣:5.7分']",['火药奶昔'],['https://t1.szrtcpa.com/upload/vod/20220314-6/d7583b8d00d82bf20b3e7b44f90fbe6c.jpg']
"['8集全', '豆瓣:6.5分']",['欲罢不能：拉丁裔'],['https://t1.szrtcpa.com/upload/vod/20220312-10/1cb2bfe812b9b48f8135992c8e72e7aa.jpg']
"['1080P', '豆瓣:5.9分']",['借酒众筹'],['https://t1.szrtcpa.com/upload/vod/20220313-24/5cd74304037dd34c2f7160e16cc4a308.jpg']
"['9集全', '豆瓣:8.9分']",['怪奇物语 第二季'],['https://t1.szrtcpa.com/upload/vod/20220314-15/d8aa629fe1182d4d606f9895a49ba95d.jpg']
"['8集全', '豆瓣:8.9分']",['怪奇物语 第一季'],['https://t1.szrtcpa.com/upload/vod/20220314-15/3916dadad3d4ef23539eacdda37be430.jpg']
"['1080P', '豆瓣:6.5分']",['夜叉2022'],['https://t1.szrtcpa.com/2022/04/08/6b3925723eb29.jpg']
"['1080P', '豆瓣:2.7分']",['粘在一起的隔离'],['https://t1.szrtcpa.com/upload/vod/20220313-26/e2a4c7efa003aba2eb93e566f9ae5a9b.jpg']
"['10集全', '豆瓣:4.2分']",['毒枭：墨西哥 第三季'],['https://t1.szrtcpa.com/upload/vod/20220313-23/72b8819b4c323116e91d1cde24a3ef52.jpg']
"['更新至10集', '豆瓣:4.2分']",['救命校车第一季'],['https://t1.szrtcpa.com/2022/03/30/0f402e16722b5.jpg']
"['6集全', '豆瓣:3.7分']",['黑暗美食：墨西哥'],['https://t1.szrtcpa.com/upload/vod/20220312-10/0789563e79b935e68f540a31fa007448.jpg']
"['8集全', '豆瓣:6.8分']",['爱，死亡和机器人 第二季'],['https://t1.szrtcpa.com/upload/vod/20220313-6/3022eeabb36c4ef41b9bb70700a258bb.jpg']
"['4集全', '豆瓣:7.3分']",['人格四重奏'],['https://t1.szrtcpa.com/upload/vod/20220312-7/a2e8e858668f5ba93c8d7570be98269d.jpg']
"['9集全', '豆瓣:8.0分']",['灵媒泰勒·亨利：死后生活'],['https://t1.szrtcpa.com/2022/03/30/d364eb20d3acd.jpg']
"['10集全', '豆瓣:9.0分']",['毒枭：墨西哥第二季'],['https://t1.szrtcpa.com/upload/vod/20220313-10/a5c8aea458bf72766a9f98cd12a0f216.jpg']
"['1080P', '豆瓣:5.0分']",['秋之女'],['https://t1.szrtcpa.com/upload/vod/20220312-1/88b12b05d959bfe0a640a7edbd7bb308.jpg']
"['5集全', '豆瓣:4.3分']",['史上最糟糕的室友'],['https://t1.szrtcpa.com/upload/vod/20220312-2/bea88489a491da3f6d84ce89d55285c4.jpg']
"['1080P', '豆瓣:1.5分']",['我的主队'],['https://t1.szrtcpa.com/upload/vod/20220312-6/3d2b58a3aa7dfae714b5bea6eeb4e1c6.jpg']
"['10集全', '豆瓣:9.2分']",['王冠 第三季'],['https://t1.szrtcpa.com/upload/vod/20220312-11/7c69010b9ab7ba420a8dfdfd256a9226.jpg']
"['蓝光1080P', '豆瓣:7.5分']",['浪客剑心 最终章 人诛篇'],['https://t1.szrtcpa.com/upload/vod/20220313-10/5242b9a6ad80acc9ea05eb8db19689e5.jpg']
"['10集全', '豆瓣:9.4分']",['毒枭第三季'],['https://t1.szrtcpa.com/upload/vod/20220314-22/e452a9144d04ceb5818967d0375dfcd1.jpg']
"['13集全', '豆瓣:8.4分']",['禁忌女孩'],['https://t1.szrtcpa.com/2022/07/13/57b0d971218eb.jpg']
"['12集全', '豆瓣:9.5分']",['马男波杰克第二季'],['https://t1.szrtcpa.com/upload/vod/20220312-5/5e18383b5424e2ec2eb9e508693dd236.jpg']
"['8集全', '豆瓣:8.4分']",['禁忌女孩2'],['https://t1.szrtcpa.com/2022/07/13/cbbb3beeb2e37.jpg']
